gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
MED15,0.03301248,0.04070313,0.05993963,0.02133652,0.02333749,0.02156973,0.01201413,0,0,0.57238577,0,0.27157477,0.05165423,0.02861707,0.02378033,0.04140109,0.05087771,0.19225373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPS26A,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67773697,2.25526401,3.02477622,1.90267986,1.16789408,1.7129061,2.81320561,1.75358189,2.2495807,1.40714626,1.98231,1.37583574,1.5537133,2.50994893,1.15939508,0.81996626,1.18025677,1.87738916,,,,,,,,,
MSS51,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8326711,14.3232853,14.4124978,16.9203729,20.5222058,15.3708269,16.0372132,12.1860995,14.3124327,14.8105403,11.740189,12.6136442,11.4707248,11.6453948,12.7857268,12.8350928,11.6467806,10.1622629,,,,,,,,,
EDF1,47.068661,44.1395457,58.5428938,36.3476548,37.6209173,55.8943118,57.7508425,37.9134341,38.4999616,,,,,,,,,,27.8169067,39.3501641,38.3567405,38.367858,33.5863856,34.5760304,39.7166876,43.596852,53.7256491,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.83603635,1.18109357,1.77551942,2.1669457,1.54484022,1.89724299,2.22243499,1.74201587,4.43311978,1.47724907,1.52130633,1.11936898,0.88058294,1.42723141,0.6469127,1.65185129,1.29179057,2.03136636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10,7.66491237,7.36527558,5.77739133,7.07358218,6.82875429,7.69279433,7.29128275,6.59448407,7.44126013,8.39377453,11.0373155,9.04026587,9.6284832,7.75333821,6.54833007,8.18498402,8.87220718,8.53997399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDUFA1,1.86855666,1.351754,1.64440847,2.08879202,1.1625598,1.85934959,1.07206933,1.48037574,0.90419023,,,,,,,,,,3.30471661,3.12118118,2.20610599,1.35614362,3.14642999,2.22872146,2.07710497,2.16679982,2.06056051,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHITM,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82568712,3.48763517,3.07767532,3.647691,2.91230491,3.00840501,3.62242346,3.10163593,2.8587041,3.61469438,2.95180642,2.90007985,4.09728292,4.00902535,4.44648459,4.50150768,4.43262552,5.69041627,,,,,,,,,
YES1,1.13339808,0.31054145,0.8574467,0.36626699,0.66769363,3.08558666,1.37491361,0.4628444,1.25726252,,,,,,,,,,0.31910815,0.29948836,0.53092319,0.13368745,0,0.34100995,1.72977006,0.3816342,0.31528015,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8377589,6.60784244,6.40327561,6.77833807,6.23823079,7.51653928,9.14671529,6.36763823,8.34097001,,,,,,,,,,6.15013929,6.71447761,5.97324564,7.65116119,6.68018475,5.97730063,6.36059452,6.41713002,5.7576364,,,,,,,,,,,,,,,,,,,,,,,,,,,
