gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89097722,0.45858121,0.54516008,0.20482274,0.71243226,0.69659831,0.28017895,0.26742757,0.98445938,,,,,,,,,,0.07548633,0.31501011,0.08081872,0.19933057,0.17924303,0.58231112,0.38365987,0.29574658,0.29804106
TRAPPC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69352925,3.79560333,3.67509731,2.39334364,5.65821893,3.05239385,3.83657486,6.73801819,1.43791993,6.96536299,7.00796635,4.15729049,6.77606011,3.83376166,2.68585039,11.5067734,6.30964274,6.5237293,,,,,,,,,
RIC8B,22.5407113,32.0133807,15.1962994,18.8098788,14.7244604,17.5240666,17.2370446,13.6326072,26.8240115,28.8264032,23.9443265,24.8235136,17.7685221,24.1152707,46.3475504,70.2535264,22.0746393,27.9589107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX18,4.15427309,2.65767266,3.38001546,5.2433014,5.19477153,3.22645965,3.93651991,4.86136243,2.78778996,,,,,,,,,,4.60792162,3.94558701,2.79049976,2.28824516,3.51085272,3.28986409,2.71014449,2.10811773,3.82657692,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.12968851,4.8585033,5.26662204,4.88140419,5.06836264,6.25784711,2.98762328,6.70492886,6.10140621,1.82485216,9.33209043,10.0414285,14.1810512,5.50332768,4.73087359,7.09241903,10.2228591,4.79474195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUVBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57628291,0.26365309,0.30378607,0.21196653,0.73728042,0.30895466,0.43492651,0.38053797,0.64832427,0.13160267,0.04036818,0.15105252,0.20649356,0,2.63489428,0.17254563,0.21288139,0.11851779,,,,,,,,,
MBNL1,0.99530753,0.596057,0.78309651,1.54388104,0.51263167,0.9847628,0.20698241,1.81161697,0.4376891,,,,,,,,,,2.35392159,3.71204872,2.97503459,0.5333282,3.37430843,1.68554383,1.56241949,0.96950286,2.29404218,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHISAL2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54327623,0.78450965,2.00155226,1.15630965,1.71391054,1.37895925,1.94121018,1.69845748,1.51573176,1.37056038,1.26122868,0.67419366,1.11365315,0.26941483,1.37929912,0.57759299,1.31965948,0.940411,,,,,,,,,
EPHB1,21.8216911,13.9010777,23.277277,24.152622,14.6550739,30.832663,27.5967161,24.3946768,36.5366774,17.6444226,10.5790041,10.6076777,22.8765704,15.6059192,29.8663204,21.8933367,12.6115668,11.4650318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILRUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4343793,17.5193406,19.7715013,16.9511858,19.4492742,15.3457726,15.0392644,19.5590374,14.8574998,23.1521243,38.3652686,21.4852226,22.5619158,20.2377673,17.9857665,13.1938106,21.9065161,23.5752727,,,,,,,,,
ABRACL,6.50574843,8.6978378,5.83497405,8.89081542,7.480471,6.83702165,4.87786163,8.35434135,6.94502061,5.80202306,4.95301173,4.57227488,6.76995779,3.66910325,6.09793293,6.09458905,6.59570448,5.53722452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC3H2,1.60035218,0.87696583,0.84749719,0.3016808,0.65994594,2.09127949,1.31042533,0.3676128,1.16500658,0.57807605,0.40129635,0.13298162,0.58427871,0.63583439,0.38426783,0.50175203,0.78102924,0.60782084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRACDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2345894,64.6400085,83.8225512,36.4602018,33.9373148,50.1047171,27.4877369,28.2592589,27.2830168,28.0244875,13.8327664,21.8121575,37.7544447,45.0808492,13.5900491,17.6068449,43.7240433,27.6306448,,,,,,,,,
PTPN11,19.5620053,15.8164882,20.9954904,19.2307354,15.0890704,17.6192789,14.5376841,17.3862131,15.3242563,,,,,,,,,,20.4144517,26.3041911,23.0372746,17.7582994,24.7341646,18.0421385,19.8873984,21.1687403,22.1224389,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALGPS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09055391,0.3728609,1.02289849,0.37470655,0.43444563,0.3641057,0.2562823,0.20384875,0.58213766,,,,,,,,,,0.27619221,0.17075122,0.04928376,0.14586363,0.06245915,0.22193559,0.23395818,0.40578324,0.32714513
TTC37,0.81248136,0.83708585,1.36404977,1.49982955,1.13299773,1.30896962,1.32450161,1.25785538,0.73614342,2.34910029,0.80377163,1.37338736,1.29566042,1.8958331,1.6235112,1.52142521,1.66727095,1.73314308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC40A1,10.5606393,12.0668259,13.1191146,22.2269188,9.04080179,12.2952297,11.1779047,20.9407122,11.8290151,17.7950004,31.9860015,25.3063335,25.3646117,19.8245167,30.4936689,33.0474546,34.2253384,30.3190714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC2,16.0058015,13.4327554,19.5369315,20.2115083,18.5413384,17.664162,11.454088,22.7396274,9.56756318,,,,,,,,,,21.2673306,23.7768357,17.8936126,16.8485743,28.2202145,18.9391679,25.4824318,22.5200876,22.8979204,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSPAN15,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0979677,35.6251592,41.9230926,43.0774879,39.2326412,29.5969678,38.4477185,26.1744591,28.8123929,23.9290275,23.0985694,30.4919689,35.2997265,31.8342136,28.6768664,32.4887719,30.7277241,26.3159875,,,,,,,,,
TNNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60654201,1.1446744,1.62723335,0.55774085,3.3646575,2.03235663,0.5722042,0.95578403,0.97480869,1.16870161,0.71698166,0.2235711,0.2037525,0.35736539,1.05922577,1.27691403,0.28007404,0.31185212,,,,,,,,,
RBSN,2.75966541,3.10409168,3.56018443,3.75498426,1.60434904,3.14358518,2.00863312,6.52821935,2.20531411,,,,,,,,,,6.31810339,5.68017893,7.37079207,3.61059343,6.89569703,5.04741936,2.95816025,3.95226621,5.9493879,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAZ1A,15.8545491,15.2340002,20.9116172,19.610749,13.5269518,15.5028713,17.3892769,21.0644604,13.0539682,,,,,,,,,,29.7015151,31.7816214,31.3804646,21.9380682,44.4503247,21.0218691,22.2692074,19.2461893,29.9900342,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMTM3,51.4714297,91.1835338,59.7390521,35.1289054,42.2913666,62.1831233,79.3680192,144.312596,77.1850571,107.154913,74.0972787,233.904846,62.2019263,47.9132779,91.4371211,100.80327,83.3258906,418.481424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.2072514,11.0614771,14.5845044,16.8662113,7.45406313,17.774112,6.30797035,21.1021343,10.4148029,,,,,,,,,,25.6206515,23.5746819,25.6513332,12.2157893,35.4386033,15.1092126,17.8940467,13.9220926,23.612361,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLCS,9.82773315,6.92715174,10.8716637,11.5931946,9.41922413,9.49716987,4.14557759,13.5608073,7.50449354,3.23105041,2.44712022,7.91510343,11.6459115,4.267062,6.64616819,5.96857506,10.740009,3.91533199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.468884,127.108412,118.091668,112.825496,109.853686,111.273945,120.658452,129.402268,99.0069083,141.933091,138.675255,134.037086,119.916834,165.615461,87.3081745,135.015417,146.467888,176.615965,,,,,,,,,
DUS1L,50.0772734,47.2322517,39.5957568,62.531567,28.8755463,83.9097883,66.6410858,35.0924745,57.0219609,34.7412946,41.5484692,22.9536173,48.8547108,27.6062252,53.485888,37.9127948,37.1305013,36.2861839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSUN2,3.21586288,3.96503609,4.64120241,5.91563262,3.29349771,3.98686153,2.82081733,5.75813128,2.74408567,,,,,,,,,,5.6554298,6.88521444,7.57073792,6.06911939,10.6482236,4.39127624,4.50441268,4.6228731,5.55088763,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.09378717,6.96609103,7.84879281,12.1522306,6.15829655,7.9324904,4.84867657,10.6481634,5.64060291,,,,,,,,,,14.596191,14.3945416,11.8666278,8.56426553,11.687889,10.0808192,10.778774,8.26221507,13.267584,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.94150614,4.06179221,2.09349546,4.68420681,3.66796042,3.33630921,3.89641884,4.33860723,7.19452533,11.2040633,7.71000215,9.11566507,1.49483683,6.78232652,11.2126846,21.2080682,5.68637473,13.7632431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80919192,0.91840669,1.68750381,0.51513643,0.80257363,1.16797956,1.24783533,1.55536388,1.70065261,0.98614358,0.63768682,1.11659214,0.80502797,0.6601343,1.26489106,0.4193329,0.8622663,0.7520797,,,,,,,,,
RPP14,0.31844529,0.2243605,0.26844545,0.39693177,0.04823964,0.73566232,0.14900248,0.22989765,0.11354364,0.22752827,0.04562958,0.08505412,0.17083456,0.11830553,0.14746502,0.02852597,0.1472331,0.13822506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5614092,27.5109982,28.9064859,25.8440998,22.1169567,26.7322764,27.5232904,34.4746717,25.4657188,,,,,,,,,,34.0513257,38.7109097,34.3439172,24.6725468,43.347734,30.5044626,31.0618394,31.2221462,33.122069
AHR,35.6959762,59.7895813,26.9030782,57.7860786,23.9251937,23.4330879,36.5823775,23.6706338,48.1188126,31.8327211,14.5241755,18.6364708,29.2438193,24.0832086,15.6463423,22.805559,37.3676054,26.0917724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPCAL1,6.91193852,6.45337188,6.09300426,4.73436737,6.61237375,4.49158527,7.79239739,3.86576207,6.9693402,,,,,,,,,,4.64515051,5.32040025,6.75713339,4.17389117,4.62463252,4.45310403,6.31034101,3.28234497,3.82452305,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXNDC11,164.71007,169.13021,182.70681,166.178751,154.295782,175.004131,251.696727,134.990565,213.138895,,,,,,,,,,126.365877,120.703454,139.434636,200.975296,133.280874,155.430983,179.818116,136.7745,136.795527,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8,16.6693474,16.2552924,18.618153,23.4572302,21.264855,23.7631314,19.2471102,17.2192258,24.6477586,20.2112515,13.0210922,12.8062776,16.3607313,17.1428657,21.0134016,16.9774717,14.8536231,12.5087027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKSCAN1,0.18331394,0.11300954,0.49925525,0.17771826,0,1.07796463,1.35093579,0,1.08663856,0.13752616,0.09193378,0,0.73141418,0.05959005,0.09903677,0.17242106,0.04237758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS3ST5,1.18815306,0.93223922,0.84984105,0.62830066,1.33626858,2.64653407,1.29720268,1.12479253,1.61754722,,,,,,,,,,0.32844214,0.77062118,0.74209645,1.56708658,0.87707903,0.42248144,1.15962555,1.09110307,0.48074397,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENT5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27078195,4.63230496,5.70739471,6.02334113,4.14387258,4.49676669,4.78537443,5.30487192,3.5305571,,,,,,,,,,5.84746332,5.74273157,4.43454251,6.21925827,7.47964109,6.06922852,6.98277198,5.15069939,7.50340939
RBM43,18.299112,19.2130435,17.1316772,14.4141801,17.4335226,20.0361309,13.4231346,22.8562169,14.4511059,,,,,,,,,,30.8643807,32.9785656,28.2606224,16.3905862,21.2324658,23.8724837,22.2097823,18.7375794,25.4117783,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALHM3,4.08785086,4.04740439,4.27337104,5.10395212,2.62711062,5.52395681,1.69054433,5.86169727,2.31882716,,,,,,,,,,7.78449974,6.57922338,8.29786499,3.55054933,12.1677337,4.41655892,6.39525716,3.75394953,8.89027022,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRP5,5.68509494,7.1493454,5.92048227,5.67649109,7.59192639,4.86316684,5.35556008,7.00826764,4.91851683,7.89909074,6.04354713,5.92684695,7.40026209,8.16648812,6.1581516,6.27627001,7.43322077,6.83844071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPAR6,64.5250453,55.8573295,44.7042304,27.5243806,49.840004,48.1948968,30.1810656,40.5027456,41.1095259,,,,,,,,,,34.4905687,43.6122466,35.8255056,28.4808203,29.3018904,39.1139091,38.7330425,43.6362982,29.9277484,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6929805,83.8110328,62.0685225,29.3200157,68.5501811,74.7204239,69.2415451,29.6142128,36.499946,67.5772452,39.7192924,69.0887036,125.906127,133.513616,41.6426367,132.395228,55.5595516,62.8945713,,,,,,,,,
RDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04933247,0,0,0.04536328,0.23667975,0,0.04653964,0.04442155,0.23785519,,,,,,,,,,0,0,0.05369817,0,0,0,0,0,0
FAM169A,1.49327266,1.32971811,1.9170695,2.45668662,0.99965743,2.77180686,1.15275604,3.22227001,1.55293717,,,,,,,,,,3.2182067,3.59906045,2.77680699,2.20169574,3.69808675,2.22601203,1.92893723,2.60547015,2.92659269,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBF2,147.952329,150.603535,162.275642,78.1129849,126.125939,264.489784,420.996254,299.544113,137.07167,,,,,,,,,,72.697183,74.0899111,56.2064299,203.392232,68.6807731,173.776219,57.8213388,185.503762,197.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLK3,22.0273054,22.218667,26.154164,17.2052055,20.1451721,21.1860678,25.2866475,15.4803144,19.8300596,,,,,,,,,,12.7777706,18.5924846,18.7689744,15.1672036,13.7460865,19.1060867,19.514547,19.7977666,19.4749877,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL27,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0264811,74.9631658,62.8123602,83.8562023,68.7691223,67.5719495,61.3173198,98.1378828,71.8909689,104.550098,86.2124491,73.8472547,95.8043263,140.949722,47.7096028,122.647592,102.476803,177.636517,,,,,,,,,
LAMA4,2.84785528,3.26440873,4.38302133,4.29237427,2.76033041,2.76929641,4.54239609,5.04940207,3.13749041,4.6959013,4.12847167,4.90849687,3.80152889,3.35586279,5.04845181,4.52018829,5.08165906,4.69832174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACH1,2.51710956,1.77536459,2.32502947,1.19349669,2.41270511,2.15453924,2.49611977,0.88875972,2.31819176,,,,,,,,,,0.83557573,0.87133541,1.23573999,1.17852472,0.75145758,1.52789387,1.49937248,2.19845661,1.54103083,,,,,,,,,,,,,,,,,,,,,,,,,,,
USP19,19.4246114,18.9996924,20.5822841,21.2929552,12.6466376,17.706619,10.0557968,20.6146085,14.4413745,,,,,,,,,,28.9640787,27.8010765,31.9715359,14.4156743,27.5124786,21.4766885,19.9666436,21.7837547,25.1775084,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45799991,6.46968045,4.34378055,5.7488761,3.7195388,3.62440201,6.15540663,5.65187047,5.40267248,6.05502501,6.17808428,6.16956972,7.16723011,4.23897102,6.93199878,5.18111564,6.20900632,7.32167678,,,,,,,,,
DISC1,5.65302398,2.70007561,3.51380248,5.57921184,2.21415983,4.04297115,1.6124687,4.02430932,3.49555834,,,,,,,,,,12.8533139,10.0525426,9.63803365,2.27068988,8.64430699,6.34370188,6.8505683,4.82297707,8.33008299,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC4A4,4.46287858,3.08143294,4.21360979,4.12473839,6.46762655,3.4699926,2.92349106,3.19848802,2.89610586,,,,,,,,,,5.82021513,5.42463317,7.21942812,2.93736182,8.25309986,6.23042436,5.18587499,2.54712109,5.6610119,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDLR,23.6108351,10.9292783,15.280909,13.9647057,13.425524,17.9341375,9.48212377,17.592027,9.74034845,,,,,,,,,,29.133956,26.3635989,30.9134312,10.1019798,34.4696284,22.4294507,25.947235,13.4560254,26.1083605,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6863446,1.79576389,0.72254741,1.06942391,1.88313013,1.01318955,0.74058047,1.7279179,1.02801515,2.31558923,1.43585581,2.17197808,1.50411523,2.15844251,1.03395424,1.59960927,1.63791039,4.42484296,,,,,,,,,
KPTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2823817,39.2703821,41.0848142,47.7144664,29.3734085,21.774017,25.6196335,48.0339442,31.3703321,,,,,,,,,,36.9776204,50.7509683,45.3962295,35.6725244,80.9466672,42.0743818,52.6229329,41.2890824,53.9219066
ADAM9,37.091623,29.5440395,32.1085413,25.5375361,50.8179932,64.9840146,54.5619825,24.3542623,38.198143,32.0953944,22.7172688,8.6531667,20.4156042,29.8767734,31.6545826,39.2099187,19.88105,23.8740549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4BP1,5.57344875,3.57066685,4.41488861,8.10497782,6.6053518,6.74764399,5.48841718,4.26754216,9.34201208,,,,,,,,,,4.65222856,2.59892542,4.45371388,5.33657174,5.79663815,5.42528248,5.12435776,3.76714701,5.4263301,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15009924,0.89221438,1.21442661,0.71270654,0.68972117,0.56967273,0.70760174,1.08063631,1.1451987,,,,,,,,,,2.03352932,1.39077258,0.57150941,1.71832774,1.77624794,0.63728042,1.11967145,1.26976119,1.1641963
,37.8249834,40.6548475,50.9779739,35.7122379,43.4438949,41.6500537,34.0378071,66.5375408,40.1398452,47.0031427,63.6225372,48.9155099,56.4289187,39.4867699,75.139549,42.5914096,46.2756437,57.0548987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.0117664,17.2446426,0.54875185,2.26290864,1.04527333,1.36711729,5.16785085,0.51267607,1.05607351,0.76277974,0.83947716,0.41727902,3.72789418,2.56348547,4.85327438,2.70569158,1.90901939,0.69932966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMEPA1,2.19976725,1.20543511,1.77512979,1.89566141,6.73867997,0.95819078,5.87073329,2.24579069,2.4401708,7.33472837,8.33532951,2.0106916,5.73658181,3.81376323,2.11278441,12.2610532,2.03412368,3.15626279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG5,20.827353,23.9397631,21.7134226,17.0651549,17.8106453,20.0830652,19.2913926,15.5563598,19.4516473,,,,,,,,,,12.8023044,14.646161,14.6029161,17.2599063,10.1365973,17.101229,17.6928415,21.1235942,15.1381065,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLR1H,3.45041689,3.22934901,3.41716568,4.69833445,2.89377926,3.76593439,3.51025122,4.1790921,3.13158994,,,,,,,,,,4.35569408,5.4206842,5.53948589,4.37880216,6.0759528,3.46833314,2.83767507,4.07558867,5.11753776,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRK3,0.2196225,0.06769654,0.19938052,0.15968887,0.23288638,0.32286863,0.47955924,0.15134676,0.27407716,,,,,,,,,,0,0,0.05143942,0.05828644,0.04314549,0.09911803,0.10402249,0,0.1374591,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRPS23,1.99202612,3.02805878,3.34435092,3.57143292,3.12509473,3.1290738,2.80049932,2.33179396,2.55405032,2.89338745,2.87389636,1.53056574,2.6386899,1.98700269,2.4177812,1.64265731,2.14482429,1.80335585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMB4,3.2292239,2.38890583,3.45418439,3.80215349,2.3076465,3.16945719,1.96207561,3.5734289,2.2310456,,,,,,,,,,4.81948565,5.23102634,5.02911661,2.30028021,6.49836647,3.95394612,3.74615881,3.4605587,5.31938695,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46247175,0.28852331,0.28495029,0.0773204,0.15128017,0.33809815,0.11898821,0,0.20270865,0.216025,0,0,0.14123248,0,0,0,0.03882706,0.086465,,,,,,,,,
TECRL,0,0,0,0.06973754,0,0,0,0,0.08976894,,,,,,,,,,0,0.22809135,0,0.07636261,0.16957816,0.19478575,0.13628263,0.16349282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.57570771,4.40285588,5.31774499,6.55949352,3.5541114,5.06549296,4.03550093,4.34602278,3.67454751,5.95336014,6.66078616,6.18446989,7.35188941,5.41713797,3.85847616,3.33912353,6.37240399,5.97232908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASSF4,76.3691053,70.2642704,71.9764508,65.0653026,61.6742654,71.2114864,75.9600276,88.4648927,72.5117783,84.9869663,87.6483353,86.6959505,83.2458744,86.7258016,78.3051821,80.465076,88.2424644,89.5247343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMAN2,2.12908193,1.74366408,1.56603221,1.97369328,2.05991396,2.20850092,2.62989829,1.45648841,2.69576868,,,,,,,,,,1.90596576,1.12106792,1.87819525,1.79824553,1.41660372,1.73939943,1.60464406,1.80140172,1.21908803,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTH,122.889081,140.569743,123.009214,89.525572,151.401616,101.643082,147.158186,81.4221941,151.142845,,,,,,,,,,90.358463,93.052359,73.3710968,91.4322958,62.0991699,104.510669,100.261424,103.19292,90.6972317,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDAG,47.8922073,62.2220584,36.9888484,37.1442334,56.0904639,41.4733897,54.4729533,34.9411132,47.0999006,,,,,,,,,,39.268766,47.1446162,35.2253255,39.4588187,31.2308227,36.9055694,37.2420131,39.4247335,32.6893299,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDNRA,3.95239814,4.39270393,4.29563296,5.45080029,2.83341922,3.43716722,4.86214349,3.47813395,3.47350844,,,,,,,,,,6.03731771,6.8399474,5.84116642,3.48662334,5.4242863,3.36653373,5.32603626,5.77790291,4.73846762,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4BP2,125.879678,137.305643,120.347087,117.500143,138.242038,86.4908092,187.275944,124.349808,138.259257,,,,,,,,,,115.488456,144.15373,84.8257623,116.495977,87.6600348,128.7943,113.544041,113.168171,82.413083,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL34,3.05129006,2.56641023,4.35908889,4.12764984,2.65868515,3.12957474,2.22089324,4.89002811,2.21386464,,,,,,,,,,4.05171048,6.28141254,4.16611115,3.0382943,6.00364339,4.86781944,3.54022837,4.06786916,4.12548942,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNLZ,0.08412631,0.14521433,0.04582358,0.13049335,0.2854625,0.1648996,1.17564782,0.07729776,0.02099703,,,,,,,,,,0.05116123,0.02667538,0.01576308,0.21433532,0.03966447,0.18224218,0.03187662,0.17845848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSL5,527.193215,562.890994,579.047873,429.324485,702.493335,433.480315,845.578499,432.563638,678.415258,,,,,,,,,,491.604168,513.873312,437.464365,540.466964,277.61784,468.687361,512.113984,431.568511,426.924775,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKRD40,6.87799305,9.10081265,7.46242294,9.27020399,8.98331266,12.0843415,13.6448761,6.01142644,11.3049241,,,,,,,,,,3.91078219,4.58791853,4.00771912,11.4865148,4.41612406,7.11674761,8.10454167,5.02021489,5.80980265,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF667,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1120085,0.15373381,0.43018498,0.14419513,0.10747544,0.45037188,0.29586881,0.12103001,0.57604906,0.15347273,0.14122997,0.0440387,0.43646662,0.05279498,0.1138062,0.02515246,0.08275285,0.11517781,,,,,,,,,
CAVIN2,7.98178549,6.72719592,9.26737331,9.2738244,6.91477788,8.33158571,10.1171126,10.4388838,7.40199314,8.82921832,12.1809591,11.7476106,11.4673005,7.48356909,7.40732153,8.48697003,10.8636222,9.34522899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIPF6,56.3798614,78.3414174,65.8073461,72.1843982,74.0193588,68.4125585,32.0473959,104.429267,52.2667293,,,,,,,,,,144.768561,85.2720392,101.449064,43.1310461,140.9288,101.133168,104.272305,62.2405571,98.8796334,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDK3,3.60321628,3.11929203,3.02752427,3.71619964,2.07300293,4.80872811,3.8083716,3.76861098,3.15720244,1.30367685,2.03773629,1.8633498,1.87130588,2.84102851,3.52056508,3.17278013,2.26852242,1.48498705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGI1,21.1153184,17.3042892,19.6283222,17.9374618,22.21179,22.5120055,23.789532,19.2077564,21.0385554,,,,,,,,,,19.4797181,16.6382627,16.2680817,23.6682564,16.8245014,19.4776115,19.0040983,17.0190163,15.7569926,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM183A,1.54028877,1.20852914,1.14408391,1.58377256,1.13836965,1.50959318,1.0701458,2.14433813,0.5824843,1.44736632,1.31085868,2.2689249,4.2066696,1.09244347,2.11820737,1.05364492,2.28751896,1.77275299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHX2,2.00403286,1.68158197,1.79405847,2.59047934,1.68234266,3.49172543,1.30670106,1.71349246,2.04936998,,,,,,,,,,3.13150592,2.73597896,3.15527293,2.21607416,5.18369296,2.21085797,4.19227606,1.70806619,3.15897841,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK6,1.18618093,1.80480671,1.26014835,1.34571263,2.02053926,1.22437952,1.30882668,1.4841169,1.70075931,,,,,,,,,,1.20228895,0.92030046,1.15858628,1.15205237,0.77345717,0.96816157,1.69742986,0.88910565,1.08466523,,,,,,,,,,,,,,,,,,,,,,,,,,,
